Age Range ID,Age Range,Classification of Formal and Informal Jobs of the First Activity ID,Classification of Formal and Informal Jobs of the First Activity,Job Situation ID,Job Situation,Economically Active Population ID,Economically Active Population,Sex ID,Sex,Number of Records
1,15 to 24 years,0,No Aplica,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,163
1,15 to 24 years,0,No Aplica,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,107
1,15 to 24 years,0,No Aplica,1,Posee un Trabajo o Negocio,2,Población no Económicamente Activa,1,Hombre,1799
1,15 to 24 years,0,No Aplica,1,Posee un Trabajo o Negocio,2,Población no Económicamente Activa,2,Mujer,870
1,15 to 24 years,0,No Aplica,2,No,1,Población Económicamente Activa,1,Hombre,5018
1,15 to 24 years,0,No Aplica,2,No,1,Población Económicamente Activa,2,Mujer,3398
1,15 to 24 years,0,No Aplica,2,No,2,Población no Económicamente Activa,1,Hombre,58550
1,15 to 24 years,0,No Aplica,2,No,2,Población no Económicamente Activa,2,Mujer,89602
1,15 to 24 years,1,Empleo Informal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,582
1,15 to 24 years,1,Empleo Informal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,410
1,15 to 24 years,2,Empleo Formal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,332
1,15 to 24 years,2,Empleo Formal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,363
2,25 to 34 years,0,No Aplica,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,141
2,25 to 34 years,0,No Aplica,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,92
2,25 to 34 years,0,No Aplica,1,Posee un Trabajo o Negocio,2,Población no Económicamente Activa,1,Hombre,1673
2,25 to 34 years,0,No Aplica,1,Posee un Trabajo o Negocio,2,Población no Económicamente Activa,2,Mujer,1386
2,25 to 34 years,0,No Aplica,2,No,1,Población Económicamente Activa,1,Hombre,3883
2,25 to 34 years,0,No Aplica,2,No,1,Población Económicamente Activa,2,Mujer,3083
2,25 to 34 years,0,No Aplica,2,No,2,Población no Económicamente Activa,1,Hombre,4829
2,25 to 34 years,0,No Aplica,2,No,2,Población no Económicamente Activa,2,Mujer,46553
2,25 to 34 years,1,Empleo Informal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,647
2,25 to 34 years,1,Empleo Informal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,669
2,25 to 34 years,2,Empleo Formal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,1188
2,25 to 34 years,2,Empleo Formal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,1532
3,35 to 44 years,0,No Aplica,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,120
3,35 to 44 years,0,No Aplica,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,62
3,35 to 44 years,0,No Aplica,1,Posee un Trabajo o Negocio,2,Población no Económicamente Activa,1,Hombre,1738
3,35 to 44 years,0,No Aplica,1,Posee un Trabajo o Negocio,2,Población no Económicamente Activa,2,Mujer,1645
3,35 to 44 years,0,No Aplica,2,No,1,Población Económicamente Activa,1,Hombre,2153
3,35 to 44 years,0,No Aplica,2,No,1,Población Económicamente Activa,2,Mujer,1693
3,35 to 44 years,0,No Aplica,2,No,2,Población no Económicamente Activa,1,Hombre,2457
3,35 to 44 years,0,No Aplica,2,No,2,Población no Económicamente Activa,2,Mujer,42042
3,35 to 44 years,1,Empleo Informal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,716
3,35 to 44 years,1,Empleo Informal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,676
3,35 to 44 years,2,Empleo Formal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,1416
3,35 to 44 years,2,Empleo Formal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,1617
4,45 to 54 years,0,No Aplica,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,123
4,45 to 54 years,0,No Aplica,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,36
4,45 to 54 years,0,No Aplica,1,Posee un Trabajo o Negocio,2,Población no Económicamente Activa,1,Hombre,2081
4,45 to 54 years,0,No Aplica,1,Posee un Trabajo o Negocio,2,Población no Económicamente Activa,2,Mujer,1475
4,45 to 54 years,0,No Aplica,2,No,1,Población Económicamente Activa,1,Hombre,1583
4,45 to 54 years,0,No Aplica,2,No,1,Población Económicamente Activa,2,Mujer,861
4,45 to 54 years,0,No Aplica,2,No,2,Población no Económicamente Activa,1,Hombre,3808
4,45 to 54 years,0,No Aplica,2,No,2,Población no Económicamente Activa,2,Mujer,41008
